Province,Municipality,Area,Production,Yield
Aklan,Altavas,0.0,0.0,0.0
Aklan,Balete,0.0,0.0,0.0
Aklan,Banga,0.0,0.0,0.0
Aklan,Batan,0.0,0.0,0.0
Aklan,Buruanga,0.0,0.0,0.0
Aklan,Ibajay,0.0,0.0,0.0
Aklan,Kalibo,0.0,0.0,0.0
Aklan,Lezo,0.0,0.0,0.0
Aklan,Libacao,0.0,0.0,0.0
Aklan,Madalag,0.0,0.0,0.0
Aklan,Makato,0.0,0.0,0.0
Aklan,Malay,0.0,0.0,0.0
Aklan,Malinao,5.0,0.08,0.016
Aklan,Nabas,0.0,0.0,0.0
Aklan,New Washington,0.0,0.0,0.0
Aklan,Numancia,0.0,0.0,0.0
Aklan,Tangalan,0.0,0.0,0.0
Antique,Anini-Y,0.0,0.0,0.0
Antique,Barbaza,0.0,0.0,0.0
Antique,Belison,0.0,0.0,0.0
Antique,Bugasong,0.0,0.0,0.0
Antique,Caluya,0.0,0.0,0.0
Antique,Culasi,4.1,3.2,0.7804878048780489
Antique,Tobias Fornier,0.0,0.0,0.0
Antique,Hamtic,0.0,0.0,0.0
Antique,Laua-An,0.0,0.0,0.0
Antique,Libertad,0.0,0.0,0.0
Antique,Pandan,0.0,0.0,0.0
Antique,Patnongon,0.0,0.0,0.0
Antique,San Jose,0.0,0.0,0.0
Antique,San Remigio,0.0,0.0,0.0
Antique,Sebaste,0.0,0.0,0.0
Antique,Sibalom,200.0,160.0,0.8
Antique,Tibiao,0.0,0.0,0.0
Antique,Valderrama,9.6,9.15,0.953125
Capiz,Cuartero,0.0,0.0,0.0
Capiz,Dao,0.0,0.0,0.0
Capiz,Dumalag,36.5,51.0,1.3972602739726028
Capiz,Dumarao,36.2,15.0,0.4143646408839778
Capiz,Ivisan,0.0,0.0,0.0
Capiz,Jamindan,0.0,0.0,0.0
Capiz,Ma-Ayon,0.0,0.0,0.0
Capiz,Mambusao,0.0,0.0,0.0
Capiz,Panay,0.0,0.0,0.0
Capiz,Panitan,6.0,2.6,0.4333333333333333
Capiz,Pilar,4.0,0.63,0.1575
Capiz,Pontevedra,8.0,2.6,0.325
Capiz,President Roxas,0.0,0.0,0.0
Capiz,City of Roxas,0.0,0.0,0.0
Capiz,Sapi-An,0.0,0.0,0.0
Capiz,Sigma,0.0,0.0,0.0
Capiz,Tapaz,44.55,49.28,1.106172839506173
Iloilo,Ajuy,0.0,0.0,0.0
Iloilo,Alimodian,0.0,0.0,0.0
Iloilo,Anilao,0.0,0.0,0.0
Iloilo,Badiangan,0.0,0.0,0.0
Iloilo,Balasan,0.0,0.0,0.0
Iloilo,Banate,0.0,0.0,0.0
Iloilo,Barotac Nuevo,0.0,0.0,0.0
Iloilo,Barotac Viejo,0.0,0.0,0.0
Iloilo,Batad,0.0,0.0,0.0
Iloilo,Bingawan,0.0,0.0,0.0
Iloilo,Cabatuan,0.0,0.0,0.0
Iloilo,Calinog,1822.0,564.8,0.3099890230515916
Iloilo,Carles,0.0,0.0,0.0
Iloilo,Concepcion,0.0,0.0,0.0
Iloilo,Dingle,545.0,170.4,0.3126605504587156
Iloilo,Dueñas,0.0,0.0,0.0
Iloilo,Dumangas,0.0,0.0,0.0
Iloilo,Estancia,0.0,0.0,0.0
Iloilo,Guimbal,0.0,0.0,0.0
Iloilo,Igbaras,0.0,0.0,0.0
Iloilo,Janiuay,0.0,0.0,0.0
Iloilo,Lambunao,377.81,116.5,0.3083560519838014
Iloilo,Leganes,0.0,0.0,0.0
Iloilo,Lemery,0.0,0.0,0.0
Iloilo,Leon,50.0,112.5,2.25
Iloilo,Maasin,34.0,20.0,0.5882352941176471
Iloilo,Miagao,19.5,10.7,0.5487179487179487
Iloilo,Mina,0.0,0.0,0.0
Iloilo,New Lucena,0.0,0.0,0.0
Iloilo,Oton,0.0,0.0,0.0
Iloilo,City of Passi,0.0,0.0,0.0
Iloilo,Pavia,0.0,0.0,0.0
Iloilo,Pototan,0.0,0.0,0.0
Iloilo,San Dionisio,79.19999999999999,32.0,0.4040404040404041
Iloilo,San Enrique,0.0,0.0,0.0
Iloilo,San Joaquin,0.0,0.0,0.0
Iloilo,San Miguel,0.0,0.0,0.0
Iloilo,San Rafael,0.0,0.0,0.0
Iloilo,Santa Barbara,0.0,0.0,0.0
Iloilo,Sara,0.0,0.0,0.0
Iloilo,Tigbauan,0.0,0.0,0.0
Iloilo,Tubungan,0.0,0.0,0.0
Iloilo,Zarraga,0.0,0.0,0.0
Guimaras,Buenavista,0.0,0.0,0.0
Guimaras,Jordan,0.0,0.0,0.0
Guimaras,Nueva Valencia,1.7,1.1,0.6470588235294118
Guimaras,San Lorenzo,0.57,0.26,0.456140350877193
Guimaras,Sibunag,2.9,0.15,0.0517241379310344
Iloilo,City of Iloilo,0.0,0.0,0.0
