Province,Municipality,Area,Yield,Production
Aklan,Altavas,2141.52,3.057454518,6547.6
Aklan,Balete,2247.0,3.016973743,6779.14
Aklan,Banga,1918.6,3.19679975,6133.38
Aklan,Batan,1109.21,3.225405469,3577.652
Aklan,Buruanga,539.0,2.978274583,1605.29
Aklan,Ibajay,2736.0,2.976059942,8142.5
Aklan,Kalibo,2300.0,3.806521739,8755.0
Aklan,Lezo,1788.0,3.841163311,6868.0
Aklan,Libacao,2260.5,2.91045167,6579.076
Aklan,Madalag,1567.95,2.86777512,4496.528
Aklan,Makato,2400.0,3.1316125,7515.87
Aklan,Malay,272.0,3.558272059,967.85
Aklan,Malinao,2470.5,2.680621332,6622.475
Aklan,Nabas,1225.25,3.124758213,3828.61
Aklan,New Washington,2779.0,3.415890608,9492.76
Aklan,Numancia,949.32,3.869981671,3673.851
Aklan,Tangalan,1253.48,4.496933338,5636.816
Antique,Anini-Y,1128.82,3.05107103,3444.11
Antique,Barbaza,5635.5454,4.060783185,22884.728
Antique,Belison,1961.03,3.940250787,7726.95
Antique,Bugasong,6994.33,3.906419057,27322.784
Antique,Caluya,385.1,3.129002856,1204.979
Antique,Culasi,4422.58,3.412783941,15093.31
Antique,Hamtic,5765.557,3.648798026,21037.353
Antique,Laua-An,2526.25,3.619827808,9144.59
Antique,Libertad,691.5,3.100795372,2144.2
Antique,Pandan,2586.14,3.454236816,8933.14
Antique,Patnongon,6425.94,3.175225726,20403.81
Antique,San Jose,1424.38,4.192938682,5972.338
Antique,San Remigio,5330.7,3.598882511,19184.563
Antique,Sebaste,2553.05,3.431526997,8760.86
Antique,Sibalom,10150.5,3.836214965,38939.5
Antique,Tibiao,1671.1262,3.995740989,6677.387454
Antique,Tobias Fornier,2660.42,3.152855564,8387.92
Antique,Valderrama,3941.13,3.458097043,13628.81
Capiz,Cuartero,7033.095,3.330398637,23423.01
Capiz,Dao,779.0,3.787394095,2950.38
Capiz,Dumalag,9534.5,4.587273585,43737.36
Capiz,Dumarao,5321.0,2.851543657,15173.0638
Capiz,Ivisan,648.4,3.449922887,2236.93
Capiz,Jamindan,6907.86,3.65298515,25234.31
Capiz,Ma-Ayon,9187.0,3.762766409,34568.535
Capiz,Mambusao,10265.8,3.62576711,37221.4
Capiz,Panay,3890.0,4.833984576,18804.2
Capiz,Panitan,6429.0,3.57707264,22997.0
Capiz,Pilar,2710.5,3.037579782,8233.36
Capiz,Pontevedra,2988.29,4.023371226,12023.0
Capiz,President Roxas,731.1088,2.581496762,1887.355
Capiz,Roxas,2670.9,4.139803063,11057.0
Capiz,Sapi-An,3257.65,3.617784292,11785.475
Capiz,Sigma,6123.3,4.497471951,27539.37
Capiz,Tapaz,6697.1525,3.125115965,20929.3782
Guimaras,Buenavista,2869.09,2.727700421,7826.018
Guimaras,Jordan,1083.94,3.216248132,3486.22
Guimaras,Nueva Valencia,3515.702,2.643797768,9294.8051
Guimaras,San Lorenzo,6372.44,3.058195762,19488.169
Guimaras,Sibunag,5991.36,3.133753104,18775.443
Iloilo,Ajuy,5108.59,4.430625525,22634.24925
Iloilo,Alimodian,3438.5,4.022858805,13832.6
Iloilo,Anilao,3550.68,3.646202981,12946.5
Iloilo,Badiangan,4840.11,4.619987975,22361.25
Iloilo,Balasan,5615.62,3.688884576,20715.374
Iloilo,Banate,3685.98,4.647339378,17130.0
Iloilo,Barotac Nuevo,7376.2,4.411854613,32542.722
Iloilo,Barotac Viejo,5711.5,3.970116432,22675.32
Iloilo,Batad,1349.0,3.130232024,4222.683
Iloilo,Bingawan,2667.55,3.049041255,8133.47
Iloilo,Cabatuan,10362.43,3.065914559,31770.325
Iloilo,Calinog,5391.37,4.062799437,21904.055
Iloilo,Carles,3128.86,3.05134426,9547.229
Iloilo,Concepcion,2922.0,3.547939767,10367.08
Iloilo,Dingle,7866.81,4.157898818,32709.4
Iloilo,Dueñas,4274.55,3.601360026,15394.1935
Iloilo,Dumangas,13114.28,5.947004715,77990.685
Iloilo,Estancia,1240.18,3.187263139,3952.78
Iloilo,Guimbal,797.15,3.027033808,2413.0
Iloilo,Igbaras,3354.74,3.864797272,12965.39
Iloilo,Iloilo City,234.41,4.126406723,967.271
Iloilo,Janiuay,5888.54,3.890168021,22907.41
Iloilo,Lambunao,12246.85,3.208454419,39293.46
Iloilo,Leganes,1892.6802,4.439261847,8402.103
Iloilo,Lemery,7209.4,3.814880573,27503.0
Iloilo,Leon,5850.73,3.376297589,19753.80559
Iloilo,Maasin,444.2,3.132057632,1391.26
Iloilo,Miagao,3155.72,3.554770385,11217.86
Iloilo,Mina,5661.52,5.075817625,28736.843
Iloilo,New Lucena,2847.8,4.156554533,11837.036
Iloilo,Oton,10362.5,3.808896502,39469.69
Iloilo,Passi City,11970.62,3.986290936,47718.374
Iloilo,Pavia,1206.76,5.644106119,6811.0815
Iloilo,Pototan,12436.92,4.818913766,59932.445
Iloilo,San Dionisio,2967.72,3.446378365,10227.886
Iloilo,San Enrique,5425.53,2.906766712,15770.75
Iloilo,San Joaquin,2901.8187,2.786432235,8085.721166
Iloilo,San Miguel,3484.89,3.771866544,13144.54
Iloilo,San Rafael,3901.45,3.659056248,14275.625
Iloilo,Santa Barbara,5393.39,3.483324588,18786.928
Iloilo,Sara,9938.0,4.757453914,47279.577
Iloilo,Tigbauan,4571.3921,3.954671926,18078.356
Iloilo,Tubungan,3347.19,3.472193093,11622.09
Iloilo,Zarraga,3990.11,3.676414936,14669.3
