Province,Municipality,Production,Inventory
Aklan,Banga,45.97,681
Aklan,Batan,170.64,126
Aklan,Kalibo,142.47,460
Aklan,New Washington,1510.85,3460
Aklan,Numancia,507.83,1450
Aklan,Tangalan,425.06,1169
Aklan,Balete,174.26,304
Aklan,Malinao,774.59,2115
Aklan,Malay,36.28,99
Aklan,Makato,55.37,153
Aklan,Nabas,39.6,110
Aklan,Buruanga,662.64,1810
Antique,Anini-Y,62743.79,1200
Antique,Tobias Fornier,162088.13,3100
Antique,Hamtic,147918.49,2829
Antique,Sibalom,462683.18,8848
Antique,San Jose,103736.4,1984
Antique,San Remigio,354502.43,6780
Antique,Belison,108599.05,2078
Antique,Patnongon,144415.3,2762
Antique,Valderrama,148232.21,2835
Antique,Bugasong,1045729.87,20000
Antique,Barbaza,196178.92,3753
Antique,Tibiao,161146.97,3082
Antique,Culasi,145617.88,2786
Antique,Sebaste,27345.84,522
Antique,Pandan,258242.99,4939
Antique,Caluya,133591.99,2556
Capiz,Cuartero,711.91,1687
Capiz,Dao,107.68,306
Capiz,Dumalag,308.6,1371
Capiz,Dumarao,890.59,1985
Capiz,Jamindan,934.85,2393
Capiz,Ma-Ayon,1101.99,2745
Capiz,Mambusao,795.1,2782
Capiz,Panay,68.09,234
Capiz,Pilar,63.96,211
Capiz,Pontevedra,79.2,247
Capiz,President Roxas,26.03,203
Capiz,City of Roxas,101.57,75
Capiz,Sapi-An,104.29,373
Capiz,Sigma,126.57,394
Capiz,Tapaz,1346.74,3018
Guimaras,Buenavista,1842.26,6280
Guimaras,Jordan,1019.1,3012
Guimaras,Nueva Valencia,771.12,3687
Guimaras,San Lorenzo,547.22,1285
Guimaras,Sibunag,759.67,2579
Iloilo,Ajuy,56.5125,172
Iloilo,Anilao,86.4375,223
Iloilo,Balasan,102.2125,573
Iloilo,Banate,70.805,180
Iloilo,Barotac Nuevo,78.0675,121
Iloilo,Barotac Viejo,327.315,343
Iloilo,Batad,92.2725,175
Iloilo,Bingawan,535.73,2385
Iloilo,Cabatuan,887.65,2040
Iloilo,Calinog,2353.02,2879
Iloilo,Carles,80.81,271
Iloilo,Concepcion,50.96,168
Iloilo,Dingle,687.18,1745
Iloilo,Dumangas,75.68,172
Iloilo,Estancia,121.15,375
Iloilo,Lambunao,2049.05,6206
Iloilo,Lemery,853.04,1465
Iloilo,Mina,65.36,305
Iloilo,Oton,153.1,1325
Iloilo,City of Passi,439.2,3360
Iloilo,Pototan,162.96,554
Iloilo,San Rafael,89.22,812
Iloilo,Sara,44.68,100
Iloilo,Tubungan,444.85,2330
Iloilo,Zarraga,119.96,245
